call_id,date,lob,experience,queue,frustration,state,state_frust
81.0,2019-01,Servicing,Help Me Catch Up,HMC-CRS-3,3,TX,3
82.0,2019-01,Servicing,Navigate My Account,NMA-ESC-1,8,RI,5
83.0,2019-01,Servicing,Decision The Deal,DTD-COL-2,4,NH,3
84.0,2019-01,Consumer Auto,NA,NA,2,FL,2
85.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-1,4,NE,3
86.0,2019-01,Consumer Auto,NA,NA,3,CT,5
87.0,2019-01,United Income,NA,NA,2,GA,7
88.0,2019-01,Servicing,Move On,MO-DIG-4,2,TX,4
89.0,2019-01,Servicing,Set Up My Loan,SML-COL-3,4,GA,6
90.0,2019-01,Servicing,Help Me Catch Up,HMC-CRS-1,3,IL,6
91.0,2019-01,Servicing,Help Me Catch Up,HMC-REC-3,4,TN,3
92.0,2019-01,Servicing,Decision The Deal,DTD-ENQ-2,5,PA,3
93.0,2019-01,United Income,NA,NA,2,WI,4
94.0,2019-01,Refinance,NA,NA,2,NY,4
95.0,2019-01,Consumer Auto,NA,NA,2,MI,4
96.0,2019-01,Servicing,Manage My Leads,MML-ENQ-1,3,IN,5
97.0,2019-01,Consumer Auto,NA,NA,2,NM,5
98.0,2019-01,Dealer,NA,NA,5,TN,3
99.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-4,2,MI,4
100.0,2019-01,Dealer,NA,NA,3,IA,5
101.0,2019-01,Refinance,NA,NA,3,NJ,4
102.0,2019-01,Dealer,NA,NA,1,MI,5
103.0,2019-01,Servicing,Fund My Deal,FMD-REC-2,2,CA,4
104.0,2019-01,Servicing,Help Me Catch Up,HMC-ENQ-5,2,NC,2
105.0,2019-01,Refinance,NA,NA,4,IN,4
106.0,2019-01,United Income,NA,NA,1,OK,3
107.0,2019-01,Servicing,Fund My Deal,FMD-DIG-1,3,NJ,3
108.0,2019-01,Servicing,Help Me Catch Up,HMC-ESC-5,2,MO,7
109.0,2019-01,Consumer Auto,NA,NA,4,FL,5
110.0,2019-01,Servicing,Keep Me In My Car,KMIC-REC-4,3,OH,5
111.0,2019-01,Refinance,NA,NA,2,TX,3
112.0,2019-01,Dealer,NA,NA,3,NV,5
113.0,2019-01,United Income,NA,NA,2,NJ,4
114.0,2019-01,Servicing,Inside Sales,IS-ESC-5,1,TN,4
115.0,2019-01,Dealer,NA,NA,1,TX,5
116.0,2019-01,Consumer Auto,NA,NA,3,IL,4
117.0,2019-01,Consumer Auto,NA,NA,4,WA,5
118.0,2019-01,Consumer Auto,NA,NA,2,OK,4
119.0,2019-01,Refinance,NA,NA,2,MI,3
120.0,2019-01,Dealer,NA,NA,2,IL,5
121.0,2019-01,Dealer,NA,NA,2,MA,2
122.0,2019-01,Servicing,Move On,MO-PW-4,4,AL,4
123.0,2019-01,Servicing,Inside Sales,IS-ENQ-4,2,MI,6
124.0,2019-01,Refinance,NA,NA,2,IL,6
125.0,2019-01,Refinance,NA,NA,2,TX,5
126.0,2019-01,Dealer,NA,NA,3,MO,5
127.0,2019-01,Servicing,Vehicle Resolution,VR-ENQ-3,2,NV,5
128.0,2019-01,Dealer,NA,NA,2,VA,3
129.0,2019-01,Consumer Auto,NA,NA,2,KS,3
130.0,2019-01,United Income,NA,NA,2,TX,4
131.0,2019-01,Servicing,Move On,MO-PW-2,6,MA,3
132.0,2019-01,Dealer,NA,NA,1,CA,4
133.0,2019-01,United Income,NA,NA,2,OH,6
134.0,2019-01,Servicing,Manage My Leads,MML-REC-2,4,TX,4
135.0,2019-01,Servicing,Decision The Deal,DTD-CRS-1,4,CA,4
136.0,2019-01,Servicing,Fund My Deal,FMD-REC-3,5,OH,6
137.0,2019-01,Dealer,NA,NA,2,NY,6
138.0,2019-01,Consumer Auto,NA,NA,1,SD,3
139.0,2019-01,Servicing,Fund My Deal,FMD-DIG-1,7,NC,3
140.0,2019-01,Servicing,Fund My Deal,FMD-CRS-1,1,IL,6
141.0,2019-01,United Income,NA,NA,2,CA,2
142.0,2019-01,Servicing,Fund My Deal,FMD-PW-5,2,SC,2
143.0,2019-01,Servicing,Help Me Catch Up,HMC-COL-4,3,MO,4
144.0,2019-01,United Income,NA,NA,3,FL,6
145.0,2019-01,Dealer,NA,NA,1,IN,3
146.0,2019-01,Servicing,Decision The Deal,DTD-ESC-2,7,IN,5
147.0,2019-01,Dealer,NA,NA,3,WA,6
148.0,2019-01,Refinance,NA,NA,2,MA,4
149.0,2019-01,Refinance,NA,NA,3,WA,7
150.0,2019-01,Dealer,NA,NA,4,KS,2
151.0,2019-01,United Income,NA,NA,2,PA,4
152.0,2019-01,Servicing,Outside Sales,OS-CRS-1,5,MO,4
153.0,2019-01,Servicing,Outside Sales,OS-COL-2,2,MN,4
154.0,2019-01,Dealer,NA,NA,2,IA,4
155.0,2019-01,Servicing,Help Me Catch Up,HMC-ESC-5,5,CA,2
156.0,2019-01,Servicing,Help Me Catch Up,HMC-PW-4,8,MD,4
157.0,2019-01,Dealer,NA,NA,3,KS,7
158.0,2019-01,Dealer,NA,NA,3,CA,4
159.0,2019-01,Servicing,Close My Account,CMA-REC-4,2,LA,5
160.0,2019-01,United Income,NA,NA,3,WA,7
161.0,2019-01,Consumer Auto,NA,NA,1,NY,4
162.0,2019-01,Dealer,NA,NA,3,FL,4
163.0,2019-01,Dealer,NA,NA,4,WA,6
164.0,2019-01,Consumer Auto,NA,NA,2,LA,6
165.0,2019-01,Servicing,Set Up My Loan,SML-DIG-2,2,WA,7
166.0,2019-01,United Income,NA,NA,3,IA,4
167.0,2019-01,Servicing,Decision The Deal,DTD-ESC-2,2,NJ,4
168.0,2019-01,Consumer Auto,NA,NA,3,GA,3
169.0,2019-01,Servicing,Help Me Catch Up,HMC-PW-4,7,OK,6
170.0,2019-01,Dealer,NA,NA,2,VA,4
171.0,2019-01,Consumer Auto,NA,NA,2,NY,7
172.0,2019-01,Dealer,NA,NA,1,OK,6
173.0,2019-01,Servicing,Manage My Leads,MML-DIG-1,4,NH,3
174.0,2019-01,Servicing,Help Me Catch Up,HMC-CRS-5,4,PA,3
175.0,2019-01,Dealer,NA,NA,2,NY,4
176.0,2019-01,United Income,NA,NA,3,ID,3
177.0,2019-01,Consumer Auto,NA,NA,2,NC,4
178.0,2019-01,Consumer Auto,NA,NA,2,PA,4
179.0,2019-01,Servicing,Outside Sales,OS-REC-2,1,OH,4
180.0,2019-01,Servicing,Move On,MO-DIG-4,3,CA,6
181.0,2019-01,Servicing,Help Me Catch Up,HMC-ENQ-4,1,CA,7
182.0,2019-01,United Income,NA,NA,2,OK,4
183.0,2019-01,Dealer,NA,NA,2,CA,4
184.0,2019-01,Servicing,Vehicle Resolution,VR-PW-3,4,FL,2
185.0,2019-01,United Income,NA,NA,2,PA,3
186.0,2019-01,Servicing,Close My Account,CMA-DIG-3,9,CO,4
187.0,2019-01,Servicing,Help Me Catch Up,HMC-CRS-4,7,OH,5
188.0,2019-01,Servicing,Navigate My Account,NMA-REC-1,2,CA,6
189.0,2019-01,Dealer,NA,NA,3,OR,6
190.0,2019-01,United Income,NA,NA,2,NJ,4
191.0,2019-01,Consumer Auto,NA,NA,1,FL,4
192.0,2019-01,Dealer,NA,NA,3,NC,2
193.0,2019-01,Dealer,NA,NA,1,NJ,2
194.0,2019-01,Consumer Auto,NA,NA,4,GA,3
195.0,2019-01,Dealer,NA,NA,3,TX,4
196.0,2019-01,Servicing,Fund My Deal,FMD-CRS-4,3,RI,5
197.0,2019-01,Servicing,Fund My Deal,FMD-COL-1,5,AZ,6
198.0,2019-01,Consumer Auto,NA,NA,3,WA,6
199.0,2019-01,Servicing,Decision The Deal,DTD-CRS-2,4,KY,5
200.0,2019-01,Refinance,NA,NA,3,CA,4
201.0,2019-01,United Income,NA,NA,3,NH,3
202.0,2019-01,Servicing,Keep Me In My Car,KMIC-PW-3,6,CA,4
203.0,2019-01,Dealer,NA,NA,2,MO,5
204.0,2019-01,Servicing,Inside Sales,IS-ESC-4,5,CA,4
205.0,2019-01,Servicing,Fund My Deal,FMD-REC-4,4,MT,4
206.0,2019-01,Refinance,NA,NA,3,TX,2
207.0,2019-01,Servicing,Close My Account,CMA-REC-3,3,PA,5
208.0,2019-01,Dealer,NA,NA,3,PA,4
209.0,2019-01,Consumer Auto,NA,NA,2,VA,4
210.0,2019-01,Servicing,Fund My Deal,FMD-CRS-3,2,PA,4
211.0,2019-01,United Income,NA,NA,3,CA,4
212.0,2019-01,Consumer Auto,NA,NA,2,TX,4
213.0,2019-01,Servicing,Inside Sales,IS-COL-3,3,NY,4
214.0,2019-01,Dealer,NA,NA,2,TN,4
215.0,2019-01,United Income,NA,NA,2,FL,4
216.0,2019-01,Servicing,Navigate My Account,NMA-DIG-3,7,TX,5
217.0,2019-01,Servicing,Navigate My Account,NMA-REC-3,3,FL,2
218.0,2019-01,Dealer,NA,NA,1,CA,2
219.0,2019-01,Servicing,Inside Sales,IS-COL-3,4,MD,3
220.0,2019-01,Consumer Auto,NA,NA,2,MI,7
221.0,2019-01,Consumer Auto,NA,NA,2,TN,4
222.0,2019-01,Servicing,Vehicle Resolution,VR-DIG-2,2,NJ,3
223.0,2019-01,Servicing,Fund My Deal,FMD-COL-4,2,AZ,6
224.0,2019-01,United Income,NA,NA,2,AR,3
225.0,2019-01,United Income,NA,NA,4,MA,4
226.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-1,4,FL,5
227.0,2019-01,Servicing,Fund My Deal,FMD-DIG-2,4,NY,5
228.0,2019-01,Consumer Auto,NA,NA,1,WA,6
229.0,2019-01,Servicing,Move On,MO-COL-4,7,NY,3
230.0,2019-01,Dealer,NA,NA,3,ID,4
231.0,2019-01,Consumer Auto,NA,NA,1,GA,5
232.0,2019-01,Servicing,Inside Sales,IS-PW-2,6,NY,6
233.0,2019-01,Consumer Auto,NA,NA,1,MN,4
234.0,2019-01,Dealer,NA,NA,3,TX,4
235.0,2019-01,Consumer Auto,NA,NA,2,LA,8
236.0,2019-01,Consumer Auto,NA,NA,1,CO,5
237.0,2019-01,Refinance,NA,NA,2,TX,4
238.0,2019-01,Dealer,NA,NA,3,PA,5
239.0,2019-01,United Income,NA,NA,3,FL,6
240.0,2019-01,Refinance,NA,NA,1,TX,4
241.0,2019-01,Refinance,NA,NA,4,MI,7
242.0,2019-01,Dealer,NA,NA,2,NJ,5
243.0,2019-01,Dealer,NA,NA,1,IN,6
244.0,2019-01,Dealer,NA,NA,2,CO,3
245.0,2019-01,Servicing,Inside Sales,IS-ENQ-4,2,ND,4
246.0,2019-01,Dealer,NA,NA,2,WI,6
247.0,2019-01,Consumer Auto,NA,NA,4,SD,5
248.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-4,4,NY,2
249.0,2019-01,Refinance,NA,NA,1,NJ,4
250.0,2019-01,Servicing,Vehicle Resolution,VR-REC-3,2,WY,4
251.0,2019-01,Consumer Auto,NA,NA,5,MO,4
252.0,2019-01,Consumer Auto,NA,NA,2,MN,7
253.0,2019-01,Servicing,Move On,MO-PW-2,3,MS,7
254.0,2019-01,Servicing,Fund My Deal,FMD-CRS-4,4,VA,5
255.0,2019-01,Dealer,NA,NA,4,AL,3
256.0,2019-01,Refinance,NA,NA,2,NC,3
257.0,2019-01,United Income,NA,NA,3,GA,4
258.0,2019-01,Dealer,NA,NA,1,NJ,7
259.0,2019-01,Servicing,Close My Account,CMA-PW-3,6,TN,4
260.0,2019-01,Servicing,Close My Account,CMA-REC-1,7,IL,7
261.0,2019-01,Servicing,Inside Sales,IS-ESC-2,3,TX,4
262.0,2019-01,Servicing,Help Me Catch Up,HMC-CRS-5,4,MI,4
263.0,2019-01,Dealer,NA,NA,5,NV,7
264.0,2019-01,Servicing,Manage My Leads,MML-ESC-2,7,NC,4
265.0,2019-01,Dealer,NA,NA,2,IL,7
266.0,2019-01,Servicing,Navigate My Account,NMA-REC-2,4,MI,2
267.0,2019-01,Consumer Auto,NA,NA,3,OK,6
268.0,2019-01,Servicing,Set Up My Loan,SML-CRS-3,9,IL,6
269.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-1,3,AL,6
270.0,2019-01,Servicing,Navigate My Account,NMA-PW-1,3,TX,5
271.0,2019-01,Servicing,Decision The Deal,DTD-ESC-2,4,IN,5
272.0,2019-01,United Income,NA,NA,2,KY,4
273.0,2019-01,Servicing,Outside Sales,OS-REC-3,3,WI,5
274.0,2019-01,Dealer,NA,NA,2,NC,3
275.0,2019-01,United Income,NA,NA,2,IL,7
276.0,2019-01,Consumer Auto,NA,NA,1,MD,4
277.0,2019-01,Consumer Auto,NA,NA,2,CT,4
278.0,2019-01,Consumer Auto,NA,NA,2,MI,3
279.0,2019-01,Servicing,Fund My Deal,FMD-ESC-5,6,GA,3
280.0,2019-01,Dealer,NA,NA,2,CA,4
281.0,2019-01,Servicing,Fund My Deal,FMD-COL-1,5,ME,2
282.0,2019-01,Dealer,NA,NA,2,CO,6
283.0,2019-01,Servicing,Fund My Deal,FMD-PW-2,3,MO,4
284.0,2019-01,Consumer Auto,NA,NA,2,TN,5
285.0,2019-01,Consumer Auto,NA,NA,2,NJ,5
286.0,2019-01,Consumer Auto,NA,NA,2,CT,3
287.0,2019-01,Servicing,Navigate My Account,NMA-PW-3,4,NY,6
288.0,2019-01,Consumer Auto,NA,NA,4,KS,4
289.0,2019-01,Servicing,Decision The Deal,DTD-REC-2,8,MS,7
290.0,2019-01,Servicing,Help Me Catch Up,HMC-PW-3,6,OH,6
291.0,2019-01,Servicing,Move On,MO-PW-4,3,CA,4
292.0,2019-01,Servicing,Decision The Deal,DTD-PW-2,4,PA,5
293.0,2019-01,Consumer Auto,NA,NA,2,CO,4
294.0,2019-01,United Income,NA,NA,1,FL,5
295.0,2019-01,Servicing,Set Up My Loan,SML-CRS-3,8,VA,4
296.0,2019-01,Servicing,Manage My Leads,MML-ESC-2,8,MI,3
297.0,2019-01,Dealer,NA,NA,2,MN,6
298.0,2019-01,Consumer Auto,NA,NA,2,TN,4
299.0,2019-01,Consumer Auto,NA,NA,3,PA,4
300.0,2019-01,Servicing,Keep Me In My Car,KMIC-PW-5,1,KY,7
301.0,2019-01,Consumer Auto,NA,NA,3,CA,3
302.0,2019-01,Dealer,NA,NA,3,OK,2
303.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-5,5,SC,3
304.0,2019-01,Servicing,Help Me Catch Up,HMC-ENQ-1,3,CA,6
305.0,2019-01,United Income,NA,NA,2,TX,4
306.0,2019-01,Consumer Auto,NA,NA,1,WA,6
307.0,2019-01,Servicing,Help Me Catch Up,HMC-PW-3,7,NY,3
308.0,2019-01,Servicing,Navigate My Account,NMA-ESC-1,8,CA,3
309.0,2019-01,Refinance,NA,NA,4,VA,5
310.0,2019-01,Dealer,NA,NA,2,NC,4
311.0,2019-01,Consumer Auto,NA,NA,2,NC,4
312.0,2019-01,Dealer,NA,NA,4,NJ,6
313.0,2019-01,Consumer Auto,NA,NA,2,OR,3
314.0,2019-01,Refinance,NA,NA,2,IL,6
315.0,2019-01,Consumer Auto,NA,NA,4,AL,2
316.0,2019-01,Refinance,NA,NA,3,TX,3
317.0,2019-01,Servicing,Help Me Catch Up,HMC-DIG-3,4,NJ,3
318.0,2019-01,United Income,NA,NA,1,CA,7
319.0,2019-01,Dealer,NA,NA,2,WI,4
320.0,2019-01,Servicing,Move On,MO-DIG-4,5,WA,5
321.0,2019-01,Servicing,Inside Sales,IS-COL-3,4,OR,3
322.0,2019-01,Servicing,Decision The Deal,DTD-ESC-1,4,PA,2
323.0,2019-01,Consumer Auto,NA,NA,3,SC,2
324.0,2019-01,Consumer Auto,NA,NA,2,FL,5
325.0,2019-01,Dealer,NA,NA,1,NY,4
326.0,2019-01,Servicing,Vehicle Resolution,VR-ENQ-4,4,NY,5
327.0,2019-01,Servicing,Help Me Catch Up,HMC-CRS-2,4,TX,4
328.0,2019-01,Refinance,NA,NA,5,GA,4
329.0,2019-01,Consumer Auto,NA,NA,3,GA,3
330.0,2019-01,Consumer Auto,NA,NA,3,CT,5
331.0,2019-01,Dealer,NA,NA,2,IN,3
332.0,2019-01,Refinance,NA,NA,2,CA,5
333.0,2019-01,Dealer,NA,NA,3,MD,5
334.0,2019-01,Dealer,NA,NA,2,AZ,5
335.0,2019-01,Servicing,Keep Me In My Car,KMIC-CRS-1,3,OH,6
336.0,2019-01,Servicing,Navigate My Account,NMA-DIG-3,5,ND,5
337.0,2019-01,Servicing,Close My Account,CMA-REC-4,2,LA,6
338.0,2019-01,Servicing,Navigate My Account,NMA-REC-2,2,LA,5
339.0,2019-01,Servicing,Vehicle Resolution,VR-COL-3,3,MT,4
340.0,2019-01,Servicing,Vehicle Resolution,VR-ENQ-4,4,CA,4
341.0,2019-01,Servicing,Inside Sales,IS-REC-2,4,GA,3
342.0,2019-01,Servicing,Vehicle Resolution,VR-COL-4,5,LA,4
343.0,2019-01,Dealer,NA,NA,2,IL,5
344.0,2019-01,United Income,NA,NA,3,CA,5
345.0,2019-01,United Income,NA,NA,3,CA,6
346.0,2019-01,Dealer,NA,NA,2,IN,2
347.0,2019-01,Refinance,NA,NA,2,RI,4
348.0,2019-01,Dealer,NA,NA,3,MS,6
349.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-5,3,MI,3
350.0,2019-01,Servicing,Move On,MO-CRS-4,2,TX,5
351.0,2019-01,United Income,NA,NA,2,MO,4
352.0,2019-01,Refinance,NA,NA,3,CA,4
353.0,2019-01,Dealer,NA,NA,1,TX,7
354.0,2019-01,Dealer,NA,NA,2,NJ,4
355.0,2019-01,Dealer,NA,NA,3,CA,6
356.0,2019-01,Dealer,NA,NA,2,MN,5
357.0,2019-01,Servicing,Decision The Deal,DTD-REC-2,6,WI,3
358.0,2019-01,Servicing,Manage My Leads,MML-COL-2,1,NJ,4
359.0,2019-01,Consumer Auto,NA,NA,2,GA,6
360.0,2019-01,Servicing,Move On,MO-CRS-1,7,ID,7
361.0,2019-01,Consumer Auto,NA,NA,2,WA,4
362.0,2019-01,Refinance,NA,NA,1,MI,4
363.0,2019-01,Servicing,Decision The Deal,DTD-REC-2,6,GA,3
364.0,2019-01,Dealer,NA,NA,2,MD,5
365.0,2019-01,Dealer,NA,NA,2,FL,3
366.0,2019-01,Servicing,Fund My Deal,FMD-CRS-5,4,MI,4
367.0,2019-01,Servicing,Inside Sales,IS-COL-4,3,CA,4
368.0,2019-01,Consumer Auto,NA,NA,2,TX,5
369.0,2019-01,Servicing,Help Me Catch Up,HMC-ESC-4,4,MN,4
370.0,2019-01,Dealer,NA,NA,2,NJ,2
371.0,2019-01,Refinance,NA,NA,2,TX,4
372.0,2019-01,Consumer Auto,NA,NA,4,OH,5
373.0,2019-01,Servicing,Inside Sales,IS-ESC-3,4,MS,7
374.0,2019-01,Servicing,Manage My Leads,MML-DIG-3,5,IN,2
375.0,2019-01,Dealer,NA,NA,2,AZ,6
376.0,2019-01,Consumer Auto,NA,NA,2,KY,4
377.0,2019-01,Servicing,Inside Sales,IS-DIG-3,3,SC,3
378.0,2019-01,Servicing,Navigate My Account,NMA-REC-1,4,UT,4
379.0,2019-01,Consumer Auto,NA,NA,2,NC,4
380.0,2019-01,Servicing,Manage My Leads,MML-PW-1,4,TX,3
381.0,2019-01,Servicing,Close My Account,CMA-REC-1,8,IL,4
382.0,2019-01,Consumer Auto,NA,NA,2,MI,4
383.0,2019-01,Dealer,NA,NA,2,NY,3
384.0,2019-01,Servicing,Help Me Catch Up,HMC-ENQ-5,1,MI,4
385.0,2019-01,United Income,NA,NA,2,MI,3
386.0,2019-01,Servicing,Manage My Leads,MML-CRS-1,3,CA,6
387.0,2019-01,Servicing,Move On,MO-COL-3,2,TX,3
388.0,2019-01,United Income,NA,NA,2,MN,5
389.0,2019-01,Servicing,Inside Sales,IS-REC-4,7,IN,7
390.0,2019-01,United Income,NA,NA,2,NJ,4
391.0,2019-01,Dealer,NA,NA,3,PA,3
392.0,2019-01,Servicing,Navigate My Account,NMA-ENQ-3,3,CA,5
393.0,2019-01,Servicing,Fund My Deal,FMD-PW-1,4,CA,5
394.0,2019-01,Dealer,NA,NA,3,MA,3
395.0,2019-01,Dealer,NA,NA,1,NC,7
396.0,2019-01,Dealer,NA,NA,3,CA,5
397.0,2019-01,Consumer Auto,NA,NA,4,GA,4
398.0,2019-01,Servicing,Close My Account,CMA-COL-4,3,TX,3
399.0,2019-01,United Income,NA,NA,3,GA,6
400.0,2019-01,Servicing,Set Up My Loan,SML-ESC-2,4,KS,3
401.0,2019-01,Consumer Auto,NA,NA,3,NV,3
402.0,2019-01,Refinance,NA,NA,3,VT,4
403.0,2019-01,Dealer,NA,NA,2,LA,6
404.0,2019-01,Consumer Auto,NA,NA,2,AL,4
405.0,2019-01,Servicing,Keep Me In My Car,KMIC-CRS-5,5,VT,3
406.0,2019-01,Dealer,NA,NA,2,OH,6
407.0,2019-01,Servicing,Outside Sales,OS-CRS-3,2,NJ,4
408.0,2019-01,Servicing,Navigate My Account,NMA-ESC-1,8,MT,2
409.0,2019-01,United Income,NA,NA,2,MD,4
410.0,2019-01,Consumer Auto,NA,NA,2,FL,4
411.0,2019-01,Servicing,Close My Account,CMA-DIG-1,7,CA,4
412.0,2019-01,Consumer Auto,NA,NA,2,AL,2
413.0,2019-01,Consumer Auto,NA,NA,3,WA,5
414.0,2019-01,Servicing,Navigate My Account,NMA-PW-1,4,TX,4
415.0,2019-01,Refinance,NA,NA,4,CA,5
416.0,2019-01,Dealer,NA,NA,1,GA,4
417.0,2019-01,Servicing,Help Me Catch Up,HMC-REC-1,4,IL,5
418.0,2019-01,Consumer Auto,NA,NA,3,OH,5
419.0,2019-01,Refinance,NA,NA,2,MD,4
420.0,2019-01,Dealer,NA,NA,4,AR,4
421.0,2019-01,Dealer,NA,NA,2,TX,5
422.0,2019-01,Servicing,Help Me Catch Up,HMC-DIG-3,7,AZ,6
423.0,2019-01,Consumer Auto,NA,NA,5,PA,4
424.0,2019-01,Refinance,NA,NA,1,TX,2
425.0,2019-01,Servicing,Keep Me In My Car,KMIC-PW-5,2,NJ,4
426.0,2019-01,Servicing,Close My Account,CMA-PW-4,4,NM,5
427.0,2019-01,United Income,NA,NA,3,UT,3
428.0,2019-01,Dealer,NA,NA,2,AZ,8
429.0,2019-01,Servicing,Set Up My Loan,SML-DIG-1,2,MI,4
430.0,2019-01,Servicing,Fund My Deal,FMD-PW-2,4,MN,3
431.0,2019-01,Consumer Auto,NA,NA,2,CO,4
432.0,2019-01,Servicing,Navigate My Account,NMA-DIG-3,7,WV,4
433.0,2019-01,Servicing,Inside Sales,IS-COL-4,2,OH,5
